IPO Date,Symbol,Company Name,Current,Return,IPO Price (Float),Todays Price,Current Return (%)
"Dec 19, 2019",INDO,Indonesia Energy,2.96,-73.09,11.0,2.33,-78.86
"Dec 19, 2019",MNPR,Monopar Therapeutics,3.94,-50.75,8.0,42.9,412.5
"Dec 13, 2019",OCFT,OneConnect Financial Technology Co.,2.4,-76.0,10.0,5.92,-40.0
"Dec 13, 2019",SPT,Sprout Social,93.82,451.88,17.0,20.81,22.53
"Dec 12, 2019",BILL,Bill.com Holdings,256.29,1064.95,22.0,45.22,103.64
"Dec 12, 2019",EH,EHang Holdings,15.83,26.64,12.5,16.74,32.56
"Dec 11, 2019",XP,XP Inc.,29.49,9.22,27.0,15.99,-40.15
"Dec 5, 2019",LMPX,LMP Automotive Holdings,7.17,43.4,5.0,0.35,-93.0
"Nov 22, 2019",PINE,Alpine Income Property Trust,18.82,-0.95,19.0,15.65,-18.37
"Nov 21, 2019",CAN,Canaan,5.16,-42.67,9.0,0.72,-92.0
"Nov 21, 2019",SITM,SiTime,272.84,1998.77,13.0,145.88,989.77
"Nov 13, 2019",YAYO,"EVmo, Inc.",0.61,-84.77,4.0,,-100.0
"Nov 11, 2019",ETNB,89bio,12.4,-22.5,16.0,7.97,-51.56
"Nov 8, 2019",CNSP,CNS Pharmaceuticals,0.91,-77.2,4.0,1.08,-74.5
"Nov 8, 2019",JIH,Juniper Industrial Holdings,13.19,31.9,10.0,13.19,31.9
"Nov 8, 2019",KRKR,36Kr Holdings,1.18,-91.86,14.5,5.5,-62.07
"Nov 8, 2019",TELA,TELA Bio,12.8,-1.54,13.0,0.94,-92.77
"Nov 7, 2019",CNTG,Centogene,5.17,-63.07,14.0,,
"Nov 7, 2019",GRTX,Galera Therapeutics,4.41,-63.25,12.0,0.07,-99.44
"Nov 1, 2019",DUO,Fangdd Network Group,0.51,-96.08,13.0,0.24,-98.11
"Oct 31, 2019",OYST,Oyster Point Pharma,15.55,-2.81,16.0,11.17,-30.19
"Oct 31, 2019",RAPT,Rapt Therapeutics,33.06,175.5,12.0,0.9,-92.41
"Oct 25, 2019",CABA,Cabaletta Bio,4.3,-60.91,11.0,1.32,-88.23
"Oct 25, 2019",DAO,Youdao,11.88,-30.12,17.0,8.78,-48.82
"Oct 25, 2019",PGNY,Progyny,50.16,285.85,13.0,22.77,74.15
"Oct 25, 2019",PHAT,Phathom Pharmaceuticals,19.36,1.89,19.0,4.34,-77.05
"Oct 25, 2019",TFFP,TFF Pharmaceuticals,8.54,70.8,5.0,0.07,-98.7
"Oct 17, 2019",BRBR,Bellring Brands,27.3,95.0,14.0,76.37,440.14
"Oct 17, 2019",IPHA,Innate Pharma,5.02,-8.73,5.5,2.21,-60.0
"Oct 11, 2019",HBT,HBT Financial,18.1,13.13,16.0,23.16,44.75
"Oct 11, 2019",VIR,Vir Biotechnology,43.37,116.85,20.0,6.05,-70.1
"Oct 10, 2019",BNTX,BioNTech SE,271.46,1709.73,15.0,103.95,588.13
"Oct 3, 2019",APRE,Aprea Therapeutics,3.34,-77.73,15.0,1.7,-88.67
"Oct 3, 2019",MCBS,MetroCity Bankshares,25.43,88.37,13.5,27.75,102.22
"Oct 3, 2019",VIE,Viela Bio,53.01,179.0,19.0,53.01,179.0
"Sep 26, 2019",OPRT,Oportun Financial,20.66,37.73,15.0,5.07,-65.8
"Sep 26, 2019",PTON,Peloton Interactive,39.19,35.14,29.0,6.8,-76.62
"Sep 19, 2019",DDOG,Datadog,177.49,557.37,27.0,101.28,275.67
"Sep 19, 2019",PING,Ping Identity Holding,23.1,54.0,15.0,28.5,90.0
"Sep 19, 2019",XGN,Exagen,11.48,-18.0,14.0,6.3,-54.64
"Sep 18, 2019",IGMS,IGM Biosciences,28.28,76.75,16.0,1.36,-91.81
"Sep 18, 2019",NVST,Envista Holdings,41.59,89.05,22.0,15.75,-29.09
"Sep 13, 2019",ALRS,Alerus Financial,28.81,37.19,21.0,20.0,-5.24
"Sep 13, 2019",EXPC,Experience Investment,8.7,-13.0,10.0,8.7,-13.0
"Sep 13, 2019",NET,Cloudflare,144.34,862.27,15.0,119.99,714.87
"Sep 13, 2019",STSA,Satsuma Pharmaceuticals,4.75,-68.33,15.0,1.1,-92.67
"Sep 13, 2019",SWTX,Springworks Therapeutics,69.0,283.33,18.0,46.22,156.89
"Sep 12, 2019",TXG,10X Genomics,146.22,274.92,39.0,8.26,-78.51
"Aug 15, 2019",CFB,CrossFirst Bankshares,14.94,3.03,14.5,15.99,10.28
"Aug 15, 2019",JFU,9F Inc.,1.07,-88.74,9.5,1.33,-87.26
"Aug 8, 2019",INMD,InMode,70.41,402.93,14.0,14.01,-0.29
